Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597118/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-22.webp,17,Combo Hairbow view 17,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597119/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-23.webp,18,Combo Hairbow view 18,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597121/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-24.webp,19,Combo Hairbow view 19,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597122/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-25.webp,20,Combo Hairbow view 20,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597123/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-26.webp,21,Combo Hairbow view 21,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597125/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-27.webp,22,Combo Hairbow view 22,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597126/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-28.webp,23,Combo Hairbow view 23,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597128/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-29.webp,24,Combo Hairbow view 24,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597129/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-30.webp,25,Combo Hairbow view 25,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597130/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-31.webp,26,Combo Hairbow view 26,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597131/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-32.webp,27,Combo Hairbow view 27,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597140/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-4.webp,28,Combo Hairbow view 28,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597142/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-5.webp,29,Combo Hairbow view 29,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597144/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-6.webp,30,Combo Hairbow view 30,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597145/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-7.webp,31,Combo Hairbow view 31,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597147/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-8.webp,32,Combo Hairbow view 32,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597148/scrunchcreate/products/hairbow/combo/sc-hairbow-combo-9.webp,33,Combo Hairbow view 33,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597089/scrunchcreate/products/hairbow/combo/satin-tulip/sc-hairbow-combo-satin-tulip-1.webp,34,Combo Hairbow view 34,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597090/scrunchcreate/products/hairbow/combo/satin-tulip/sc-hairbow-combo-satin-tulip-2.webp,35,Combo Hairbow view 35,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597091/scrunchcreate/products/hairbow/combo/satin-tulip/sc-hairbow-combo-satin-tulip-3.webp,36,Combo Hairbow view 36,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597093/scrunchcreate/products/hairbow/combo/satin-tulip/sc-hairbow-combo-satin-tulip-4.webp,37,Combo Hairbow view 37,
hairbow-combo,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/duu26sqog/image/upload/v1775597094/scrunchcreate/products/hairbow/combo/satin-tulip/sc-hairbow-combo-satin-tulip-5.webp,38,Combo Hairbow view 38,
